"Country,Year 2015,Year 2016,Year 2017,Year 2018,Year 2019,Year 2020,Year 2021,Year 2022 Forecast,Year 2023 Forecast,Year 2024 Forecast,Year 2025 Forecast,Year 2026 Forecast"
" Afghanistan , $705,60 , $617,13 , $635,79 , $582,32 , $586,20 , $611,27 , no data , no data , no data , no data , no data , no data "
" Lebanon , $7 663,88 , $7 653,69 , $7 819,59 , $8 058,46 , $7 639,10 , $2 784,82 , no data , no data , no data , no data , no data , no data "
" Pakistan , $1 422,92 , $1 436,37 , $1 544,17 , $1 557,89 , $1 352,72 , $1 254,86 , no data , no data , no data , no data , no data , no data "
" Syria , no data , no data , no data , no data , no data , no data , no data , no data , no data , no data , no data , no data "
" Venezuela , $10 568,10 , $9 092,02 , $4 725,05 , $3 404,43 , $2 299,31 , $1 690,66 , $1 627,35 , $1 617,76 , no data , no data , no data , no data "
" Gabon , $7 453,11 , $7 082,22 , $7 370,35 , $8 220,50 , $8 111,34 , $7 277,37 , $8 569,22 , $9 083,63 , $9 276,92 , $9 532,13 , $9 899,51 , $10 396,01 "
" Saint Vincent and the Grenadines , $6 867,52 , $7 033,49 , $7 187,49 , $7 353,64 , $7 470,71 , $7 304,34 , $6 952,24 , $7 720,92 , $8 378,19 , $8 915,71 , $9 388,17 , $9 829,00 "
" Botswana , $6 413,79 , $6 988,16 , $7 286,77 , $7 513,63 , $7 219,46 , $6 420,23 , $7 349,88 , $7 770,51 , $8 257,27 , $8 718,33 , $9 144,08 , $9 823,11 "
" North Macedonia  , $4 860,42 , $5 152,97 , $5 462,38 , $6 111,19 , $6 044,44 , $5 939,41 , $6 711,73 , $7 203,98 , $7 692,06 , $8 251,31 , $8 856,04 , $9 477,47 "
" Bosnia and Herzegovina , $4 727,26 , $4 994,07 , $5 392,37 , $6 073,94 , $6 120,16 , $6 035,00 , $6 647,83 , $7 078,90 , $7 568,24 , $8 092,60 , $8 651,22 , $9 221,16 "
" Belarus , $5 958,84 , $5 037,85 , $5 778,56 , $6 351,76 , $6 831,52 , $6 397,51 , $7 032,48 , $7 592,19 , $7 911,69 , $8 335,22 , $8 723,33 , $9 087,23 "
" Tuvalu , $3 396,69 , $3 798,27 , $4 255,25 , $4 507,67 , $5 052,11 , $5 105,93 , $6 004,10 , $6 455,94 , $6 965,41 , $7 468,56 , $7 982,84 , $8 497,59 "
" South Africa , $6 256,67 , $5 750,79 , $6 678,29 , $6 984,47 , $6 598,88 , $5 624,50 , $6 861,17 , $7 081,87 , $7 270,27 , $7 450,59 , $7 627,63 , $8 162,35 "
" Peru , $6 139,23 , $6 169,39 , $6 728,07 , $7 007,28 , $6 961,70 , $6 134,22 , $6 676,52 , $6 781,12 , $7 149,52 , $7 422,85 , $7 689,99 , $7 973,34 "
" Emerging market and developing economies , $4 772,48 , $4 709,14 , $5 070,54 , $5 356,36 , $5 447,83 , $5 216,94 , $5 845,10 , $6 269,90 , $6 667,39 , $7 079,04 , $7 507,20 , $7 953,85 "
" Albania , $3 953,61 , $4 124,41 , $4 525,89 , $5 254,46 , $5 305,07 , $5 152,56 , $5 837,18 , $6 284,03 , $6 622,85 , $7 027,58 , $7 445,97 , $7 880,29 "
" Equatorial Guinea , $11 217,99 , $9 202,54 , $9 624,53 , $9 968,09 , $8 394,42 , $7 136,81 , $8 625,76 , $8 058,55 , $7 886,88 , $7 846,44 , $7 722,70 , $7 689,31 "
" Georgia , $4 017,62 , $4 060,89 , $4 358,59 , $4 718,79 , $4 693,66 , $4 275,29 , $4 807,95 , $5 297,52 , $5 804,01 , $6 347,65 , $6 945,40 , $7 530,72 "
" Moldova , $2 715,78 , $2 857,88 , $3 478,52 , $4 196,16 , $4 464,12 , $4 522,60 , $4 791,63 , $5 240,23 , $5 729,29 , $6 288,49 , $6 884,59 , $7 517,89 "
" Colombia , $6 337,04 , $6 037,13 , $6 577,30 , $6 923,64 , $6 546,63 , $5 390,92 , $5 892,14 , $6 186,66 , $6 446,91 , $6 723,38 , $7 016,12 , $7 326,74 "
" Fiji , $5 385,52 , $5 620,58 , $6 049,89 , $6 272,73 , $6 142,93 , $4 995,16 , $5 127,44 , $5 507,13 , $6 053,59 , $6 548,09 , $6 954,05 , $7 305,72 "
" Ukraine , $2 124,33 , $2 200,00 , $2 655,66 , $3 118,27 , $3 690,07 , $3 741,06 , $4 384,24 , $4 958,31 , $5 439,55 , $5 957,96 , $6 553,72 , $7 185,05 "
